audio_path,session,channel,plant_id,species,genotype,recording_time,last_watering_time,hours_since_watering,days_since_watering,session_dir,treatment,soil_sensors,sowing,transplant,water_stress,water_status,hours_normalized,days_normalized,hour,time_bin
data/PUA.02/audiofiles/PUA076/ch2PUA_2025-02-05_05-44-50.wav,PUA076,ch2,#70,Nicotiana benthamiana,wt,2025-02-05 05:44:50,2025-01-30 15:48:58,133.9311111111111,5.5804629629629625,PUA.02,,"ph1,temphum1",,2024-12-23_12-00-00,1,stressed,0.33183983658254906,0.331839836582549,5,132-144h
data/PUA.02/audiofiles/PUA076/ch2PUA_2025-02-05_08-54-56.wav,PUA076,ch2,#70,Nicotiana benthamiana,wt,2025-02-05 08:54:56,2025-01-30 15:48:58,137.09944444444446,5.712476851851853,PUA.02,,"ph1,temphum1",,2024-12-23_12-00-00,1,stressed,0.33968998586339944,0.33968998586339944,8,132-144h
data/PUA.02/audiofiles/PUA076/ch3PUA_2025-02-03_00-46-11.wav,PUA076,ch3,#71,Nicotiana benthamiana,wt,2025-02-03 00:46:11,2025-01-30 15:48:58,80.95361111111112,3.37306712962963,PUA.02,,,,2024-12-23_12-00-00,1,stressed,0.200577990125027,0.20057799012502703,0,72-84h
data/PUA.02/audiofiles/PUA076/ch3PUA_2025-02-06_09-39-48.wav,PUA076,ch3,#71,Nicotiana benthamiana,wt,2025-02-06 09:39:48,2025-01-30 15:48:58,161.84722222222223,6.7436342592592595,PUA.02,,,,2024-12-23_12-00-00,1,stressed,0.4010073188223262,0.4010073188223262,9,156-168h
data/PUA.02/audiofiles/PUA076/ch2PUA_2025-02-05_01-18-30.wav,PUA076,ch2,#70,Nicotiana benthamiana,wt,2025-02-05 01:18:30,2025-01-30 15:48:58,129.4922222222222,5.395509259259259,PUA.02,,"ph1,temphum1",,2024-12-23_12-00-00,1,stressed,0.3208416439200917,0.3208416439200917,1,120-132h
data/PUA.02/audiofiles/PUA076/ch2PUA_2025-02-01_12-06-48.wav,PUA076,ch2,#70,Nicotiana benthamiana,wt,2025-02-01 12:06:48,2025-01-30 15:48:58,44.297222222222224,1.8457175925925926,PUA.02,,"ph1,temphum1",,2024-12-23_12-00-00,0,adequate,0.10975480499887816,0.10975480499887816,12,36-48h
data/PUA.02/audiofiles/PUA076/ch3PUA_2025-02-03_21-18-26.wav,PUA076,ch3,#71,Nicotiana benthamiana,wt,2025-02-03 21:18:26,2025-01-30 15:48:58,101.49111111111111,4.228796296296296,PUA.02,,,,2024-12-23_12-00-00,1,stressed,0.2514635579910335,0.2514635579910335,21,96-108h
data/PUA.02/audiofiles/PUA076/ch3PUA_2025-02-05_04-43-48.wav,PUA076,ch3,#71,Nicotiana benthamiana,wt,2025-02-05 04:43:48,2025-01-30 15:48:58,132.9138888888889,5.538078703703704,PUA.02,,,,2024-12-23_12-00-00,1,stressed,0.3293194747846818,0.3293194747846818,4,132-144h
data/PUA.02/audiofiles/PUA076/ch4PUA_2025-01-31_17-52-19.wav,PUA076,ch4,#72,Solanum lycopersicum,Micro Tom,2025-01-31 17:52:19,2025-01-30 15:48:58,26.055833333333332,1.0856597222222222,PUA.02,,"ph2,temphum2",,2024-12-02_12-00-00,0,adequate,0.06455828973286366,0.06455828973286366,17,24-36h
data/PUA.02/audiofiles/PUA076/ch3PUA_2025-02-05_22-23-41.wav,PUA076,ch3,#71,Nicotiana benthamiana,wt,2025-02-05 22:23:41,2025-01-30 15:48:58,150.57861111111112,6.2741087962962965,PUA.02,,,,2024-12-23_12-00-00,1,stressed,0.37308718855086764,0.37308718855086764,22,144-156h
data/PUA.02/audiofiles/PUA076/ch4PUA_2025-02-01_10-26-30.wav,PUA076,ch4,#72,Solanum lycopersicum,Micro Tom,2025-02-01 10:26:30,2025-01-30 15:48:58,42.62555555555556,1.7760648148148148,PUA.02,,"ph2,temphum2",,2024-12-02_12-00-00,0,adequate,0.10561293244301656,0.10561293244301656,10,36-48h
data/PUA.02/audiofiles/PUA076/ch4PUA_2025-01-31_14-58-59.wav,PUA076,ch4,#72,Solanum lycopersicum,Micro Tom,2025-01-31 14:58:59,2025-01-30 15:48:58,23.166944444444443,0.9652893518518518,PUA.02,,"ph2,temphum2",,2024-12-02_12-00-00,0,fresh,0.0574005172867087,0.057400517286708704,14,12-24h
data/PUA.02/audiofiles/PUA076/ch3PUA_2025-02-08_12-09-38.wav,PUA076,ch3,#71,Nicotiana benthamiana,wt,2025-02-08 12:09:38,2025-01-30 15:48:58,212.34444444444443,8.847685185185185,PUA.02,,,,2024-12-23_12-00-00,1,stressed,0.5261238046864138,0.5261238046864138,12,204-216h
