sr_hz,duration_s,rms_mean,rms_std,zcr_mean,centroid_mean,bandwidth_mean,rolloff85_mean,flatness_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,hf_ratio_10k,hf_ratio_20k,hf_ratio_30k,hf_ratio_40k,path
300000,0.26384,0.027246056124567986,0.007157235872000456,0.20911353326612903,66460.16816564089,46384.18003553302,122524.78966346153,0.1533869504928589,-346.6975402832031,-14.507207870483398,-30.798625946044922,-26.776395797729492,-0.9630386829376221,12.192388534545898,18.91272735595703,12.527530670166016,8.103314399719238,4.1429123878479,-2.226463556289673,-1.6747337579727173,-2.196477174758911,0.2287893717533038,0.21199169108852225,0.18988583705844667,0.17647596507195687,../data/PUA.02/audiofiles/PUA076/ch2PUA_2025-02-05_05-44-50.wav
300000,0.26384,0.11814295500516891,0.009313490241765976,0.05887411794354839,28250.728571250987,41970.500299990854,86347.84405048077,0.011325245723128319,-222.3475799560547,66.7890396118164,-88.27836608886719,-93.21180725097656,-7.393888473510742,14.416126251220703,1.6510555744171143,1.329278588294983,9.660394668579102,3.419736385345459,-9.515026092529297,-7.808517932891846,-3.8344552516937256,0.01552333309115319,0.012623602412559968,0.011225458506072407,0.010528494369757375,../data/PUA.02/audiofiles/PUA076/ch2PUA_2025-02-05_08-54-56.wav
300000,0.26384,0.11964040994644165,0.009992599487304688,0.05081905241935484,25968.786774474105,40458.89032596062,77930.62650240384,0.009123566560447216,-226.71653747558594,66.45983123779297,-99.00110626220703,-92.99601745605469,-3.8060851097106934,10.309956550598145,-0.6525132656097412,4.425823211669922,7.126341819763184,2.3103597164154053,-6.586477279663086,-9.381738662719727,-7.158679008483887,0.014406646885626333,0.009159886186230265,0.008283439259352912,0.00757105974945745,../data/PUA.02/audiofiles/PUA076/ch3PUA_2025-02-03_00-46-11.wav
300000,0.26384,0.025346964597702026,0.005957774352282286,0.23010017641129032,59192.74802078722,48015.28539535221,119600.73617788461,0.1630384474992752,-319.29742431640625,9.009940147399902,-49.801021575927734,-44.26980972290039,0.4269530177116394,8.382927894592285,5.312572479248047,6.000041961669922,5.949833393096924,2.899078845977783,-4.293515205383301,-1.326991081237793,-3.0860962867736816,0.237692541933462,0.21311177553594876,0.18323796848975554,0.16565875373051483,../data/PUA.02/audiofiles/PUA076/ch3PUA_2025-02-06_09-39-48.wav
300000,0.26384,0.027399856597185135,0.007433139253407717,0.2219789566532258,67154.32556426016,46037.20482351134,122725.73617788461,0.14485113322734833,-354.4472351074219,-20.594364166259766,-29.82174301147461,-22.79289436340332,1.7243151664733887,11.853793144226074,17.153364181518555,12.361452102661133,8.579117774963379,4.741917133331299,-2.334052085876465,-2.063056707382202,-2.707937002182007,0.22226457659572446,0.20538757961283968,0.18471711927151227,0.17134461800346365,../data/PUA.02/audiofiles/PUA076/ch2PUA_2025-02-05_01-18-30.wav
300000,0.26384,0.1251978874206543,0.011947762221097946,0.058196824596774194,28044.658719859217,41222.12864786059,83632.24909855769,0.011868364177644253,-217.4833984375,64.79082489013672,-91.91432189941406,-93.22221374511719,-6.116526126861572,14.002859115600586,-1.3317298889160156,0.18277575075626373,9.731452941894531,3.55316162109375,-8.338750839233398,-8.403742790222168,-7.302034854888916,0.02523722559001638,0.022025897398928324,0.020518912851857026,0.015602204874692788,../data/PUA.02/audiofiles/PUA076/ch2PUA_2025-02-01_12-06-48.wav
300000,0.26384,0.11282505840063095,0.008320700377225876,0.054889112903225803,27208.454799203744,41284.227924554085,82732.68479567308,0.010323925875127316,-231.70962524414062,66.16239929199219,-93.372802734375,-97.0214614868164,-6.205743312835693,14.683835983276367,-2.1624584197998047,0.6597955226898193,8.53750991821289,2.734548568725586,-9.666357040405273,-7.598432540893555,-5.9934797286987305,0.014680668609339885,0.011960380316894902,0.009690707817972627,0.009076724248745588,../data/PUA.02/audiofiles/PUA076/ch3PUA_2025-02-03_21-18-26.wav
300000,0.26384,0.02196037583053112,0.007763662375509739,0.26167464717741934,66456.66235041224,46648.61413948488,123441.25600961539,0.19622662663459778,-353.2763977050781,-7.243427276611328,-31.44148826599121,-33.97593688964844,-5.445078372955322,11.89815616607666,16.11725616455078,9.04536247253418,3.337891101837158,2.5753746032714844,0.16521205008029938,-0.056358423084020615,-2.378028631210327,0.24658078678106374,0.22995722485291809,0.21022357920075402,0.18856937008199948,../data/PUA.02/audiofiles/PUA076/ch3PUA_2025-02-05_04-43-48.wav
300000,0.26384,0.02522214502096176,0.007731339428573847,0.17442666330645162,64129.70832985943,45715.556694358376,119990.42217548077,0.13490469753742218,-358.6019287109375,-13.930147171020508,-33.341102600097656,-27.987821578979492,-1.9817402362823486,13.531193733215332,14.969293594360352,10.833443641662598,5.483278751373291,5.040546417236328,-0.8483000993728638,-0.3545680344104767,-2.5638036727905273,0.2701090957419521,0.251373680784833,0.16294282468380716,0.13733408143965423,../data/PUA.02/audiofiles/PUA076/ch4PUA_2025-01-31_17-52-19.wav
300000,0.26384,0.02010529488325119,0.004826319869607687,0.28119014616935484,67439.55191649777,46456.53446862765,124015.92548076923,0.21983851492404938,-356.2479248046875,-13.139809608459473,-36.18366241455078,-38.460975646972656,-8.939733505249023,9.23521614074707,15.885433197021484,10.296043395996094,5.663427829742432,3.2978627681732178,-1.9137431383132935,-1.6151374578475952,-2.402076482772827,0.34671742181264176,0.3253293230073046,0.2790187705480483,0.2529560086836715,../data/PUA.02/audiofiles/PUA076/ch3PUA_2025-02-05_22-23-41.wav
